product_id,cmno,name,category_id,category,is_main,is_protein,price,calories,protein,fat,carb,sugar,sodium,n_servings,price_source
487,2850721,LP33機能優酪乳,16,乳製品,0,1,30,107.0,4.8,1.0,19.6,17.0,104.0,1,curated
488,2850785,AB優酪乳無加糖,16,乳製品,0,1,30,119.0,6.4,2.7,17.3,9.5,107.0,1,curated
489,2850876,AB優酪乳無加糖517ml,16,乳製品,0,1,44,298.0,16.0,6.8,43.4,23.8,268.0,2,curated
490,0025641,林鳳營特濃重乳優格,6,蛋糕甜品,0,1,140,408.0,22.4,13.6,49.2,45.6,248.0,4,curated
491,0042974,鮮乳坊生乳優格,6,蛋糕甜品,0,1,105,296.1,15.9,17.1,19.8,15.3,162.0,3,curated
492,0100863,林鳳營草莓特濃優格,6,蛋糕甜品,0,1,140,416.0,20.4,12.4,56.0,48.4,200.0,4,curated
493,0263952,牧場直送4.0鮮乳優格,6,蛋糕甜品,0,1,35,108.9,4.2,5.3,13.2,7.1,53.0,1,curated
494,0537745,質立蜂蜜希臘式優格,6,蛋糕甜品,0,1,35,185.0,6.0,7.4,23.6,21.5,85.0,1,curated
495,0537959,質立無加糖希臘式優格,6,蛋糕甜品,0,1,35,171.0,6.0,7.5,19.8,12.5,84.0,1,curated
496,1048565,林鳳營藍莓特濃重乳優格,6,蛋糕甜品,0,1,35,131.0,6.5,4.2,16.9,14.8,74.0,1,curated
497,2620051,光泉莓果穀物脆片鮮奶優格,6,蛋糕甜品,0,1,35,80.8,4.3,4.4,6.0,4.3,69.0,1,curated
498,2620124,大粒果實鮮美橘瓣優格,6,蛋糕甜品,0,1,70,180.0,7.0,4.4,28.2,28.0,56.0,2,curated
499,2620138,大粒果實蜂蜜草莓優格,6,蛋糕甜品,0,1,70,186.0,7.6,4.4,28.8,27.8,58.0,2,curated
500,2620283,福樂頂級希臘式優格,6,蛋糕甜品,0,1,35,115.0,7.3,5.1,9.9,8.8,69.0,1,curated
501,2620360,大粒果實葡萄蘆薈優格,6,蛋糕甜品,0,1,70,194.0,8.2,5.2,28.8,28.8,88.0,2,curated
502,2620479,林鳳營草莓特濃重乳優格,6,蛋糕甜品,0,1,35,135.0,6.6,4.0,18.2,15.7,65.0,1,curated
503,2620483,林鳳營無加糖特濃重乳優格,6,蛋糕甜品,0,1,35,100.0,7.3,4.4,7.9,6.8,81.0,1,curated
504,1413039,小美輕優蘋果優格紅茶雪糕,14,冰品,0,1,30,115.0,1.3,4.6,17.2,13.9,21.4,1,curated
505,1413043,小美輕優柳橙優格綠茶雪糕,14,冰品,0,1,30,117.0,1.4,5.2,16.2,12.7,23.3,1,curated
506,1439334,樂天Joee希臘式優格草莓雪糕,14,冰品,0,1,30,184.0,2.0,11.2,18.8,18.2,44.0,1,curated
507,1074017,百奇藍莓果粒優格棒,18,點心零食,0,1,32,189.2,2.8,8.1,26.2,13.5,66.1,1,curated
508,0784984,每日滿足莓果優格穀物棒,19,加工食品,0,1,59,106.0,1.6,4.6,15.6,4.3,8.3,1,tier
