salePageId,title,price,suggestPrice,isSoldOut
11249570,【亞尼克】亞尼克生乳捲-原味2入(324G/入*2),984,984,False
11235985,【冷藏店取-安博格】無鹽奶油(200g/包),199,199,False
11220082,【言久嵢】厚切焦糖芋頭布丁三明治蛋糕(240g/盒),145,155,False
11026137,【阿聰師的糕餅主意】阿聰師芋頭酥-麻糬6入/盒((50g*6/盒)*6),1980,1980,False
10545620,【黑丸嫩仙草】【黑丸】仙草+愛玉+紅茶(仙草2桶+愛玉2桶+紅茶2桶(2kg/桶，共6桶/箱)),840,840,False
10545614,【黑丸嫩仙草】【黑丸】蜂蜜紅茶凍(2kg±1.5%/桶，共6桶/箱),840,840,False
10395791,【老食說】手工牛角麵包10入組(65g/個，原味*5、奶酥*5，共10個),399,798,False
10316682,【冷凍店取-鮮芋仙】花生地瓜圓(200g/盒),95,129,False
10316678,【冷凍店取-鮮芋仙】招牌燒仙草小雙圓(1000g/盒),179,229,False
10316663,【冷凍店取-鮮芋仙】芝麻地瓜圓(200g/盒),95,129,False
10316655,【冷凍店取-鮮芋仙】雙圓紫米粥(1000g/盒),199,249,False
11723132,【小熊菓子】芙菲小圓餅-經典原味(24盒)(240g(18入)/盒),3960,3960,False
11631334,【阿默典藏蛋糕】荷蘭貴族手工蛋糕-12盒(417公克/盒),4560,4560,False
11357480,【留酥】卡列特綜合禮盒8入(7盒)(240g/盒(8入)),3500,3500,False
11357469,【小熊菓子】帕瑪森起司棒(11包)(150g/袋),2365,2365,False
11357443,【留酥】卡列特綜合禮盒8入(單盒)(240g/盒(8入)),710,710,False
11357441,【小熊菓子】Q心乳加餅禮盒9入(10盒)(252g/盒(9入)),3600,3600,False
11357427,【小熊菓子】法式小泡芙-原味(12包)(110g/袋),1920,1920,False
11302473,【諾貝爾奶凍】香草奶凍(8盒)(510g±15g/盒*8盒),2280,2280,False
11302471,【亞尼克】北海道黑酷曲12入(360g/入),4104,5400,False
11302465,【諾貝爾奶凍】芋頭奶凍(8盒)(550g±15g/盒*8盒),2480,2480,False
11302456,【諾貝爾奶凍】芒果奶凍(8盒)(470g±3%/盒*8盒),2480,2480,False
11302454,【熊夫人甜點】茶酒泡芙6入組(6盒)(伯爵茶威士忌55g*2入、茉莉花琴酒55g*2入、鐵觀音龍舌蘭55g*2入/盒*6盒),2880,2880,False
11302445,【諾貝爾奶凍】巧克力奶凍(8盒)(490g±3%/盒*8盒),2280,2280,False
11302443,【熊夫人甜點】抹茶紅豆茉莉花琴酒(4盒)(500g±20g/盒*4盒),2600,2600,False
11302442,【久久津乳酪本舖】焦糖布蕾蛋糕(6盒)(320g/盒*6盒),2310,2310,False
11302441,【法藍四季】芋頭肉鬆三明治半條(6盒)(450g/盒*6盒),1500,1500,False
11302439,【My Dear】手工薄層濃純黑草莓巧克力-6盒(10g*10包/盒*6盒),2310,2310,False
11302432,【My Dear】手工薄層牛奶白草莓巧克力-6盒(10g*10包/盒*6盒),2310,2310,False
11302430,【久久津乳酪本舖】道南半熟乳酪-綜合8入(6盒)(原味40g*3入、抹茶40g*3入、巧克力40g*2入/盒*6盒),2550,2550,False
11302429,【久久津乳酪本舖】開運布丁燒(6盒)(90g*5入/盒*6盒),2010,2010,False
